OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
524,60206120499,-599294.058,-1161183.089,3/21/2012 12:00:00 AM,3,2012,3,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1639,16,březen,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace místní,0,0,1,0,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.59318889,49.190169161,e4776bb1-0bfd-4980-84c8-4d3c50398047,616083.404357456,5449818.03733746
525,60206120506,-599333.781,-1161142.08,3/22/2012 12:00:00 AM,4,2012,3,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1700,17,březen,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace místní,0,0,1,0,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.592586463,49.1904973250001,bd87d0af-db7e-48e0-9100-0a949756a03b,616038.744111915,5449853.5931059
526,60206120536,-597744.25,-1161438.754,3/26/2012 12:00:00 AM,1,2012,3,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1940,19,březen,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,20000,0,0,1,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-střed,16.6147061340001,49.1893822160001,1c3a58c9-a81d-49c4-b14a-b33b085eb3ba,617653.006969777,5449763.78491856
527,60206120540,-598259.437,-1161399.355,3/27/2012 12:00:00 AM,2,2012,3,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1940,19,březen,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,10000,0,1,0,1,,24-32,muž,muž,"nepozornost, roztržitost","zmatené, zbrklé, nerozhodné jednání",vstup chodce na signál STŮJ,vozidlem RZP,těžké zranění,Brno-střed,16.6076206860001,49.1892366690001,1dd1abd4-30d8-4e79-b28e-ebd36fa35d0c,617137.100352749,5449736.61508047
528,60206120547,-598934.876,-1159654.469,3/29/2012 12:00:00 AM,4,2012,3,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1045,10,březen,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,19-24,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"zmatené, zbrklé, nerozhodné jednání",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.595830532,49.2041832400001,063c0124-27f4-4fd9-9990-b9a632cca8ef,616243.020226269,5451379.93702591
529,60206120555,-599055.663,-1156513.587,3/29/2012 12:00:00 AM,4,2012,3,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1932,19,březen,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,1,0,0,0,1,0,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"zmatené, zbrklé, nerozhodné jednání",vstup chodce do vozovky v blízkosti přechodu (cca do 2O m),vozidlem RZP,těžké zranění,Brno-Královo Pole,16.589538626,49.232146518,398be777-6cc0-4fd4-bc0b-db08e20e895b,615719.407883923,5454478.77887201
530,60206120563,-597942.597,-1161240.893,3/30/2012 12:00:00 AM,5,2012,3,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",915,9,březen,den,pátek,Nezjišťován,nezjišťováno,nezaviněno řidičem,jiný druh nehody,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,0,1,,,muž,muž,nezjištěno,žádné z uvedených,jiná situace,nebylo třeba poskytnout,bez zranění,Brno-střed,16.611708928,49.1909595990001,83efe4da-99ff-4d0c-b942-2c3cc34b5ea2,617430.894392859,5449934.47590733
531,60206120564,-594727.736,-1160976.47,3/30/2012 12:00:00 AM,5,2012,3,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1405,14,březen,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,30000,0,0,1,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Židenice,16.6551774800001,49.196421613,6a0a272e-c6d2-4b31-8746-fdd1af645cac,620584.655028602,5450610.00350358
532,60206120566,-600204.411,-1161655.486,3/30/2012 12:00:00 AM,5,2012,3,řidičem motorového vozidla,"ve dne, zhoršená viditelnost (svítání, soumrak)",1340,13,březen,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,"komunikace účelová - ostatní (parkoviště, odpočívky apod.",0,0,1,0,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,jinou osobou,lehké zranění,Brno-střed,16.581470546,49.185063643,05cba9b9-7bea-4f2f-9da4-63a24610c7e8,615241.469720211,5449232.58623919
533,60206120584,-594228.297,-1159949.403,4/3/2012 12:00:00 AM,2,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1345,13,duben,den,úterý,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,2,0,0,0,1,1,,,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-Vinohrady,16.660486334,49.2060845460001,b97ad062-85a0-4685-b94b-d8b0672cefdf,620947.83298222,5451692.63113497
534,60206120603,-602197.904,-1157578.905,4/7/2012 12:00:00 AM,6,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1017,10,duben,den,sobota,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,0,1000,0,1,0,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení těsně před nebo za vozidlem stojícím v zastávce,vozidlem RZP,těžké zranění,Brno-Komín,16.548227877,49.2195707930001,bcc1ee1f-f17d-4544-b4a6-45ed3033e4da,612740.681791844,5453018.43222223
535,60206120609,-596079.272,-1159152.962,4/10/2012 12:00:00 AM,2,2012,4,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1050,10,duben,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,2,10000,0,0,1,1,,7-11,dívka (do 15 let),skupina dětí,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.6340576750001,49.211424906,da7a7f44-24ec-417a-8f8a-d765ce828600,619010.056002703,5452244.37022057
536,60206120609,-596079.272,-1159152.962,4/10/2012 12:00:00 AM,2,2012,4,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1050,10,duben,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,2,10000,0,0,1,1,,7-11,dívka (do 15 let),skupina dětí,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.6340576750001,49.211424906,d2ce8efc-a1d4-4014-a0de-888caeef1b76,619010.056002703,5452244.37022057
537,60206120620,-597147.436,-1163727.323,4/12/2012 12:00:00 AM,4,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1255,12,duben,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,déšť,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,20000,0,1,0,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-jih,16.6262146650001,49.1694969230001,ffac1856-0320-452d-b151-d39fa3427fea,618539.017357161,5447571.24502045
538,60206120628,-597750.22,-1160973.651,4/13/2012 12:00:00 AM,5,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1010,10,duben,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,10000,0,1,0,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,vozidlem RZP,těžké zranění,Brno-střed,16.6139392870001,49.1935347310001,688a1fe9-2f29-45ec-8eb3-5586671c2612,617587.289671186,5450224.19736684
539,60206120635,-595690.59,-1159580.401,4/13/2012 12:00:00 AM,5,2012,4,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1952,19,duben,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,výhled zakryt stojícím vozidlem,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,0-6,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení těsně před nebo za vozidlem parkujícím,vozidlem RZP,lehké zranění,Brno-Židenice,16.6399902260001,49.2079776210001,ebb731aa-c5cc-4d9a-88c1-64a5fed764c5,619450.419227269,5451870.50961656
540,60206120646,-597949.289,-1156085.961,4/16/2012 12:00:00 AM,1,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",940,9,duben,den,pondělí,Ne,ne,nepřiměřená rychlost jízdy,srážka s pevnou překážkou,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)",povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,1,220000,1,0,0,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené","chůze, stání na chodníku",vozidlem RZP,usmrcení,Brno-Královo Pole,16.6040114350001,49.237040511,5b0c5269-3e1d-4561-a142-9a0e02f8b486,616761.45904388,5455045.05567051
541,60206120659,-599598.911,-1154793.819,4/10/2012 12:00:00 AM,2,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1515,15,duben,den,úterý,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,přecházení po vyznačeném přechodu,,lehké zranění,Brno-Řečkovice a Mokrá Hora,16.579575166,49.2469948150001,cd54580a-9c60-41c7-ab03-f9ec0ac67ddd,614959.612495484,5456114.17459996
542,60206120682,-596764.662,-1160331.148,4/20/2012 12:00:00 AM,5,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1230,12,duben,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,0,1,5000,0,0,1,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení těsně před nebo za vozidlem stojícím v zastávce,vozidlem RZP,lehké zranění,Brno-sever,16.6264386760001,49.200230344,d9b1360d-cca2-420e-b77c-e7b1b52ca38e,618481.928779669,5450987.99536348
543,60206120711,-597486.242,-1162328.305,4/25/2012 12:00:00 AM,3,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1025,10,duben,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"výjezd z parkoviště, lesní cesty apod. (pol.36=7,8)",komunikace místní,0,0,1,1000,0,0,1,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,,lehké zranění,Brno-jih,16.6195355350001,49.18167821,40149e34-f5f3-4968-8eee-2cc742cb1fcd,618023.205632227,5448914.90766971
544,60206120715,-596080.156,-1159160.919,4/25/2012 12:00:00 AM,3,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1415,14,duben,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-sever,16.634057313,49.211352913,38654daf-a33d-4a88-91a7-5bf6ce390924,619010.202493155,5452236.36670988
545,60206120716,-596995.676,-1160470.985,4/25/2012 12:00:00 AM,3,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1525,15,duben,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace místní,0,0,1,1000,0,0,1,1,,19-24,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.623492678,49.1987572680001,e58bd259-9efe-4f44-ac2d-638de9fd89de,618270.841970049,5450819.63580666
546,60206120733,-599241.895,-1161915.579,4/27/2012 12:00:00 AM,5,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1040,10,duben,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,16-18,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.5949823890001,49.1836709840001,50c0edd6-4d4d-417b-9e4d-ae94d44c3c44,616229.301054857,5449098.43524396
547,60206120735,-595656.484,-1160198.983,4/27/2012 12:00:00 AM,5,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1305,13,duben,den,pátek,"Ano, obsah alkoholu v krvi 1,5‰ a více",ano,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace místní,0,0,1,0,0,0,1,1,,61-70,muž,muž,"fyzická indispozice (nemoc, nevolnost, snížená pohyblivost apod.)",náraz do vozidla z boku,"chůze, stání na chodníku",vozidlem RZP,lehké zranění,Brno-Židenice,16.6413645160001,49.202479791,c59d33f5-180f-4811-a80a-6d8acbc7e1ac,619563.771138372,5451261.52709804
548,60206120741,-598296.957,-1160890.794,4/28/2012 12:00:00 AM,6,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1200,12,duben,den,sobota,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,parkoviště přiléhající ke komunikaci,komunikace místní,0,0,1,0,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náraz do vozidla z boku,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.6063587520001,49.1937471690001,540ba003-68c3-4a4e-9e90-040ac42aa5ff,617034.511953347,5450236.06179628
549,60206120751,-597884.033,-1161184.575,4/30/2012 12:00:00 AM,1,2012,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1745,17,duben,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,výhled zakryt stojícím vozidlem,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,0,1,10000,0,0,1,1,,19-24,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.6124247810001,49.191519692,0f5348b4-7e52-419d-bd19-5a33c4d7b83a,617481.723682027,5449997.84828784
550,60206120754,-598851.269,-1157001.873,5/1/2012 12:00:00 AM,2,2012,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1155,11,květen,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,5000,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení těsně před nebo za vozidlem stojícím v zastávce,vozidlem RZP,lehké zranění,Brno-Královo Pole,16.5930510270001,49.2279791120001,d36eb0c1-6aa0-48a1-94cc-a007d33ed5dd,615984.860713493,5454020.89553127
551,60206120822,-597216.653,-1151549.128,4/28/2012 12:00:00 AM,6,2012,4,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1550,15,duben,den,sobota,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace účelová - polní a lesní cesty atd.,0,0,1,0,0,0,1,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,špatný odhad vzdálenosti a rychlosti vozidla,jiná situace,jinou osobou,lehké zranění,Brno-Ořešín,16.607316751,49.2783097670001,4d1a81a4-4ef2-404f-92f9-d1cfa8508049,616904.521652531,5459637.8115604
552,60206120832,-597749.755,-1161438.722,5/13/2012 12:00:00 AM,7,2012,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1830,18,květen,den,neděle,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,50000,0,1,0,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál STŮJ,vozidlem RZP,těžké zranění,Brno-střed,16.6146309960001,49.1893771850001,d9dfc6d8-d2c7-4ed4-8362-d73f29d64ad9,617647.544299801,5449763.10885733
553,60206120841,-598853.736,-1163671.797,5/15/2012 12:00:00 AM,2,2012,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",805,8,květen,den,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,1000,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.602867685,49.1683453410001,9b093346-8dc9-4f67-8c12-100306bc07ad,616839.97005308,5447406.93871711
554,60206120843,-597702.394,-1160862.346,5/15/2012 12:00:00 AM,2,2012,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1200,12,květen,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.6144276800001,49.194576053,e3bfbbd4-4986-4ccf-986d-7d7b21a89dbc,617620.401810122,5450340.71241232
555,60206120850,-596611.18,-1159524.158,5/16/2012 12:00:00 AM,3,2012,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1515,15,květen,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,2,2000,0,0,1,1,,7-11,chlapec (do 15 let),jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.62734519,49.2075934170001,96ab40be-7aae-4612-8c0b-616fb493a135,618530.359458466,5451807.91414304
556,60206120850,-596611.18,-1159524.158,5/16/2012 12:00:00 AM,3,2012,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1515,15,květen,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,2,2000,0,0,1,1,,33-44,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.62734519,49.2075934170001,5f8fd260-e5c9-443f-a3f6-c956d55a7608,618530.359458466,5451807.91414304
557,60206120856,-596217.391,-1161566.538,5/18/2012 12:00:00 AM,5,2012,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",758,7,květen,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),1,0,0,20000,1,0,0,1,,61-70,muž,muž,nezjištěno,žádné z uvedených,vstup chodce na signál STŮJ,vozidlem RZP,usmrcení,Brno-Černovice,16.635721705,49.1897125150001,a450ed9c-d514-4da0-9aeb-9f29cb6fbf87,619183.419873898,5449833.38403506
558,60206120868,-601391.306,-1161518.234,5/18/2012 12:00:00 AM,5,2012,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1700,17,květen,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,15000,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-Nový Lískovec,16.5650798020001,49.185138538,ff456223-9f51-4275-a231-8faba0ac1fb6,614046.95021561,5449216.0851616
559,60206120870,-598523.636,-1158389.905,5/19/2012 12:00:00 AM,6,2012,5,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",345,3,květen,noc,sobota,"Ano, obsah alkoholu v krvi 1,5‰ a více",ano,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,1,0,5000,0,1,0,1,,45-60,žena,žena,"fyzická indispozice (nemoc, nevolnost, snížená pohyblivost apod.)","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,těžké zranění,Brno-Královo Pole,16.599574208,49.215886857,e1c54984-ee57-4203-b872-ba2a6246e07b,616488.199273164,5452686.70439958
