OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
11,60042182046,-593565.17,-1164793.17,5/5/2018 12:00:00 AM,6,2018,5,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",140,1,květen,noc,sobota,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,dálnice,0,1,0,35000,0,1,0,1,,33-44,muž,muž,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,těžké zranění,Brno-Tuřany,16.676621363,49.1634114030001,75a9f195-0982-459a-af27-15a5a878f60e,622228.125642047,5446974.91855054
12,60206100003,-598130.717,-1161301.21,1/1/2010 12:00:00 AM,5,2010,1,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1312,13,leden,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,0,0,100,0,0,0,1,,45-60,muž,muž,nezjištěno,náraz do vozidla z boku,"chůze, stání na chodníku",nebylo třeba poskytnout,bez zranění,Brno-střed,16.609231756,49.1902385490001,05fb4cce-4f1c-4e61-88e1-f5c6b8218617,617252.116158526,5449850.48138307
13,60206100018,-595323.004,-1159728.75,1/6/2010 12:00:00 AM,3,2010,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1710,17,leden,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,11000,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-Židenice,16.6452242510001,49.2070050570001,78423a08-0111-4b83-9fd4-8861c870c59d,619833.980691539,5451770.67324863
14,60206100025,-596182.503,-1162172.84,1/8/2010 12:00:00 AM,5,2010,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1240,12,leden,den,pátek,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)","na vozovce je náledí, ujetý sníh - posypané",sněžení,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,16000,0,0,1,1,,19-24,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,vozidlem RZP,lehké zranění,Brno-Černovice,16.637088584,49.1843252670001,9868e03f-b115-4636-8542-abf49f90ec55,619295.964622383,5449236.67852913
15,60206100057,-601155.813,-1163559.703,1/15/2010 12:00:00 AM,5,2010,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1330,13,leden,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,,lehké zranění,Brno-Bohunice,16.571315477,49.167116573,335dd66d-cbb6-4072-aac1-cbcbcc99dd0e,614542.911825274,5447222.13056959
16,60206100072,-597741.444,-1159477.109,1/18/2010 12:00:00 AM,1,2010,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1825,18,leden,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.61185283,49.206923085,54f65910-cc36-41dd-b97a-7fc4b2bbcf1f,617403.57893792,5451709.24381073
17,60206100081,-601453.953,-1157874.407,1/20/2010 12:00:00 AM,3,2010,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1714,17,leden,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,12-15,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Komín,16.5588197980001,49.2176529870001,945eb99f-ef4c-42c7-8251-5b0951bcc5bd,613516.342142116,5452821.08122459
18,60206100083,-597281.068,-1161228.533,1/21/2010 12:00:00 AM,4,2010,1,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1020,10,leden,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náraz do vozidla z boku,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.6207146850001,49.191708906,88f38a95-5ccf-4e48-a5be-35b0af6bfe56,618085.254698645,5450031.78354498
19,60206100124,-605055.856,-1157375.427,1/25/2010 12:00:00 AM,1,2010,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",630,6,leden,den,pondělí,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-Bystrc,16.508922243,49.218600397,f98dc312-b7c5-4f21-a170-0bbc9fabf437,609880.727200531,5452852.72641772
20,60206100129,-598683.39,-1160011.754,1/26/2010 12:00:00 AM,2,2010,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1930,19,leden,den,úterý,Nezjišťován,nezjišťováno,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,19-24,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"zmatené, zbrklé, nerozhodné jednání",přecházení po vyznačeném přechodu,poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-střed,16.599789474,49.2012323870001,ae4b8c04-2f82-4d1e-bf77-4a5d7f45d8fe,616538.320850444,5451058.00114546
